,group_id,average,count,std,min,Q1,Q2,Q3,max
0,11381.csv,598.8606781014212,330.0,326.9553429144159,15.0,590.0,650.0,806.0,3654.67
1,12688.csv,625.5468060111111,9.0,156.7953167081596,236.2204722,629.9212592,629.9212592,748.0314953,748.0314953
2,6966.csv,879.5,6.0,791.8721487715046,227.0,440.0,690.0,842.5,2420.0
3,8793.csv,511.81102310000006,3.0,232.0831911520861,255.90551155,413.38582635,570.86614115,639.7637788750001,708.6614166
4,12850.csv,454.33070819799997,5.0,206.67603959538292,314.9606296,314.9606296,314.9606296,551.1811018,775.59055039
5,545.csv,467.9081363000001,9.0,330.2833162900414,100.0,197.0,470.0,590.5511805,1200.0
6,223.csv,748.936654287381,210.0,254.56910059506754,23.622,650.0,650.0,857.5,2338.578
7,10921.csv,427.94671475647056,34.0,153.31704272447305,26.0,350.0,450.0,480.0,825.0
8,4817.csv,762.5,12.0,224.7473328793106,100.0,800.0,800.0,900.0,900.0
9,10935.csv,841.5384615384615,13.0,562.3736325292132,100.0,600.0,600.0,1170.0,2150.0
10,4803.csv,372.3333333333333,3.0,204.04983051532616,137.0,308.5,480.0,490.0,500.0
11,237.csv,348.2751478049164,413.0,445.28328876746065,78.7401574,157.4803148,275.59,393.700787,8149.6062909
12,6972.csv,767.6573749606669,51.0,470.70355492924494,200.0,461.5,708.66,954.724408475,2300.0
13,8787.csv,229.68503935,2.0,269.14599847373194,39.3700787,134.527559025,229.68503935,324.842519675,420.0
14,12844.csv,511.80999999999995,2.0,167.03276385188622,393.7,452.755,511.80999999999995,570.865,629.92
15,9499.csv,1400.0,1.0,,1400.0,1400.0,1400.0,1400.0,1400.0
16,551.csv,451.5,4.0,214.42092559573877,130.0,445.0,556.5,563.0,563.0
17,11395.csv,1334.8523630289776,356.0,5413.346394168857,1.0,600.0,1000.0,1200.0,98750.0
18,6782.csv,574.606,4.0,287.1834853840543,200.0,498.818,599.212,675.0,900.0
19,579.csv,1270.2220739226668,75.0,610.002398776008,281.2,561.023621475,1650.0,1731.0,2600.0
20,8977.csv,540.64919675,4.0,326.029013389268,150.0,332.77559025,596.8503935,804.7239999999999,818.896
21,3822.csv,1228.5714285714287,7.0,188.9822365046136,800.0,1300.0,1300.0,1300.0,1300.0
22,4195.csv,1401.25,4.0,637.83977873235,875.0,1118.75,1200.0,1482.5,2330.0
23,1947.csv,505.738188625,8.0,163.05536339963047,280.0,378.9370074875,505.0,634.8425190375,708.6614166
24,3188.csv,905.8236615932782,363.0,412.5667097895333,3.0,700.0,900.0,1200.0,1800.0
25,10909.csv,462.25927994714283,14.0,199.6577026292189,130.0,328.740157145,433.0708657,625.25,837.0
26,2296.csv,575.0,1.0,,575.0,575.0,575.0,575.0,575.0
27,3836.csv,2276.0633022142856,7.0,1369.3072911089344,300.0,1500.0,2559.0551155,2970.194,4133.0
28,4181.csv,255.92908754857146,7.0,118.40572215474145,150.0,167.20850000000002,196.8503935,334.64566894999996,440.94488144
29,7488.csv,2182.1918562009287,3230.0,3565.887399536092,54.0,1151.574211725,1968.503935,3000.0,188464.5667369
30,6796.csv,4846.227031706334,12.0,8976.45812205361,390.0,585.413385375,828.38582635,2215.0,26199.999973276
31,12878.csv,1203.3333333333333,3.0,340.6366588218792,810.0,1105.0,1400.0,1400.0,1400.0
32,8963.csv,800.0,3.0,173.20508075688772,600.0,750.0,900.0,900.0,900.0
33,12893.csv,611.9811434133551,307.0,122.69198760173708,50.0,551.0,600.0,625.0,925.195
34,8988.csv,200.787,1.0,,200.787,200.787,200.787,200.787,200.787
35,586.csv,738.4623793388888,9.0,451.5712736185858,275.5905509,374.01574765,612.5,1062.9921249,1425.0
36,1012.csv,1259.28328281,10.0,815.0858612184916,700.0,790.5511805,987.755,1375.0,3425.1968469
37,7463.csv,643.07660522,30.0,341.0361613213821,98.42519675,393.700787,590.5511805,871.8503935,1450.0
38,8750.csv,1114.697777777778,9.0,502.05028188862167,393.7,790.0,1200.0,1338.58,2040.0
39,3605.csv,852.5590548025455,11.0,366.2431384086572,39.3700787,755.118109925,975.0,1049.999999439,1259.8425184
40,11342.csv,1223.6236204386992,10.0,1443.8371573295751,39.3700787,229.137795125,767.71653465,1102.3622036,3937.007866062992
41,5274.csv,1069.5474145110868,771.0,952.9286503200314,3.0,599.999999388,944.8818888,1200.0,11760.0
42,5512.csv,1199.1041665663668,24.0,863.2193530488145,12.0,537.75,1125.0,2250.0,2520.0
43,3163.csv,1100.0,1.0,,1100.0,1100.0,1100.0,1100.0,1100.0
44,11424.csv,529.9470089857126,356.0,382.4442856197388,3.937,289.763779232,472.4409444,720.1181100525,3600.0
45,7305.csv,1251.5729846499964,577.0,1776.6407438906401,10.0,425.0,708.6614166,1358.0,19685.03935
46,8036.csv,3289.1139390843473,345.0,30026.380827291985,43.307,354.3307083,590.55,787.401574,403188.9759667
47,13233.csv,449.9995,2.0,70.70997101187358,400.0,424.99975,449.9995,474.99925,499.999
48,1774.csv,590.3255184123436,32.0,576.9541032634169,7.87401574,236.2204722,486.2204722,701.47637723725,3000.0
49,9328.csv,2079.3333333333335,9.0,1307.4709365794713,575.0,970.0,1969.0,2400.0,4800.0
50,7311.csv,592.8604592958333,24.0,496.1206466394141,150.0,205.75,400.0,828.05,2100.0
51,8022.csv,737.64173225,12.0,595.7280044238502,80.0,360.0,616.5,812.5,2050.0
52,12139.csv,625.0,1.0,,625.0,625.0,625.0,625.0,625.0
53,13227.csv,712.7574797844001,25.0,485.7177010243909,39.3700787,314.9606296,649.60629855,1102.3622036,1586.61417161
54,1760.csv,1617.1181098090908,11.0,1372.3388982486942,340.0,675.0,1190.0,2007.8740137,4900.0
55,5506.csv,571.4630984505259,8499.0,1043.4661127526626,1.0,300.0,433.0708657,650.0,66700.0
